message_text,intent,priority,language
Where is my order 10001?,order_status,normal,ru
??? ??? ????? 10002?,order_status,normal,ru
Has my order been shipped?,order_status,normal,ru
????? ??????? ??? ??????,order_status,normal,ru
track order 10005 pls,order_status,normal,en
????? 10006 ??? ??????????,order_status,normal,ru
How long does delivery take?,delivery_question,normal,ru
??????? ???? ?????????,delivery_question,normal,ru
When will delivery arrive to Minsk?,delivery_question,normal,ru
????? ????? ????????,delivery_question,normal,ru
I want to return my headphones,return_refund,high,en
???? ??????? ?????,return_refund,high,ru
I need a refund,return_refund,high,en
??? ??????? ???????,return_refund,high,ru
Can I return a cable?,return_refund,high,ru
Do you have iPhone 15 cases in stock?,product_availability,normal,ru
???? ?? ????? ??? iPhone 15?,product_availability,normal,ru
Do you have wireless headphones in stock?,product_availability,normal,ru
???? ???????????? ?????,product_availability,normal,ru
need usb-c charger 65w,product_availability,normal,en
Can I pay by card?,payment_question,normal,ru
????? ???????? ???????,payment_question,normal,ru
Do you accept cash on delivery?,payment_question,normal,ru
???? ?????? ??? ??????????,payment_question,normal,ru
My order arrived broken,complaint,urgent,en
????? ?????? ?????????,complaint,urgent,ru
"This is unacceptable, I want my money back",complaint,urgent,en
?? ???? ????????,complaint,urgent,ru
I will contact a lawyer,complaint,urgent,en
? ????? ? ???,complaint,urgent,ru
???? ???????? ?? ?????????,warranty,normal,ru
What is your warranty policy?,warranty,normal,ru
How long is warranty for accessories?,warranty,normal,ru
??????? ???????? ?? ??????,warranty,normal,ru
I need a human manager,human_agent,high,en
???????? ?????????,human_agent,high,ru
Connect me to a real person,human_agent,high,en
????? ????????,human_agent,high,ru
Buy crypto now!!!,spam,low,en
free money click link,spam,low,en
?????? ??????? ??????,spam,low,ru
asdfghjkl,unknown,low,en
what color is the moon cable,unknown,low,en
?????? ??? ??? ??????,unknown,low,ru
Where is my order 10045?,order_status,normal,ru
??? ??? ????? 10046?,order_status,normal,ru
Has my order been shipped?,order_status,normal,ru
????? ??????? ??? ??????,order_status,normal,ru
track order 10049 pls,order_status,normal,en
????? 10050 ??? ??????????,order_status,normal,ru
How long does delivery take?,delivery_question,normal,ru
??????? ???? ????????,delivery_question,normal,ru
When will delivery arrive to Minsk?,delivery_question,normal,ru
????? ????? ????????,delivery_question,normal,ru
I want to return my headphones,return_refund,high,en
???? ??????? ?????,return_refund,high,ru
I need a refund,return_refund,high,en
??? ??????? ???????,return_refund,high,ru
Can I return a cable?,return_refund,high,ru
Do you have iPhone 15 cases in stock?,product_availability,normal,ru
???? ?? ????? ??? iPhone 15?,product_availability,normal,ru
Do you have wireless headphones in stock?,product_availability,normal,ru
???? ???????????? ?????,product_availability,normal,ru
need usb-c charger 65w,product_availability,normal,en
Can I pay by card?,payment_question,normal,ru
????? ???????? ???????,payment_question,normal,ru
Do you accept cash on delivery?,payment_question,normal,ru
???? ?????? ??? ??????????,payment_question,normal,ru
My order arrived broken,complaint,urgent,en
????? ?????? ?????????,complaint,urgent,ru
"This is unacceptable, I want my money back",complaint,urgent,en
?? ???? ????????,complaint,urgent,ru
I will contact a lawyer,complaint,urgent,en
? ????? ? ???,complaint,urgent,ru
???? ???????? ?? ?????????,warranty,normal,ru
What is your warranty policy?,warranty,normal,ru
How long is warranty for accessories?,warranty,normal,ru
??????? ???????? ?? ??????,warranty,normal,ru
I need a human manager,human_agent,high,en
???????? ?????????,human_agent,high,ru
Connect me to a real person,human_agent,high,en
????? ????????,human_agent,high,ru
Buy crypto now!!!,spam,low,en
free money click link,spam,low,en
?????? ??????? ??????,spam,low,ru
asdfghjkl,unknown,low,en
what color is the moon cable,unknown,low,en
?????? ??? ??? ??????,unknown,low,ru
Where is my order 10034?,order_status,normal,ru
??? ??? ????? 10035?,order_status,normal,ru
Has my order been shipped?,order_status,normal,ru
????? ??????? ??? ??????,order_status,normal,ru
track order 10038 pls,order_status,normal,en
????? 10039 ??? ??????????,order_status,normal,ru
How long does delivery take?,delivery_question,normal,ru
??????? ???? ?????????,delivery_question,normal,ru
When will delivery arrive to Minsk?,delivery_question,normal,ru
????? ????? ????????,delivery_question,normal,ru
I want to return my headphones,return_refund,high,en
???? ??????? ?????,return_refund,high,ru
I need a refund,return_refund,high,en
??? ??????? ???????,return_refund,high,ru
Can I return a cable?,return_refund,high,ru
Do you have iPhone 15 cases in stock?,product_availability,normal,ru
???? ?? ????? ??? iPhone 15?,product_availability,normal,ru
Do you have wireless headphones in stock?,product_availability,normal,ru
???? ???????????? ?????,product_availability,normal,ru
need usb-c charger 65w,product_availability,normal,en
Can I pay by card?,payment_question,normal,ru
