product_id,name,category,brand,price,currency,stock,attributes,alternatives
P001,iPhone 15 Clear Case,phone cases,TechGear,19.99,USD,24,"{""color"": ""clear"", ""model"": ""iPhone 15"", ""compatibility"": ""MagSafe"", ""warranty"": ""6 months""}","[""P002"", ""P003""]"
P002,iPhone 15 Silicone Case Black,phone cases,TechGear,24.99,USD,0,"{""color"": ""black"", ""model"": ""iPhone 15"", ""compatibility"": ""MagSafe"", ""warranty"": ""6 months""}","[""P001"", ""P003""]"
P003,iPhone 15 Pro Rugged Case,phone cases,ArmorX,29.99,USD,12,"{""color"": ""blue"", ""model"": ""iPhone 15 Pro"", ""compatibility"": ""MagSafe"", ""warranty"": ""6 months""}","[""P001""]"
P004,Samsung S24 Clear Case,phone cases,TechGear,18.99,USD,15,"{""color"": ""clear"", ""model"": ""Samsung S24"", ""compatibility"": ""wireless charging"", ""warranty"": ""6 months""}","[""P005""]"
P005,Samsung S24 Ultra Rugged Case,phone cases,ArmorX,31.99,USD,0,"{""color"": ""black"", ""model"": ""Samsung S24 Ultra"", ""compatibility"": ""wireless charging"", ""warranty"": ""6 months""}","[""P004""]"
P006,Sony WH-CH720N Wireless Headphones,headphones,Sony,129.99,USD,8,"{""color"": ""black"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months""}","[""P007"", ""P008""]"
P007,JBL Tune 520BT Wireless Headphones,headphones,JBL,59.99,USD,21,"{""color"": ""white"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months""}","[""P006""]"
P008,Anker Soundcore Earbuds,headphones,Anker,49.99,USD,0,"{""color"": ""black"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months""}","[""P007""]"
P009,USB-C Fast Charger 30W,chargers,Anker,25.99,USD,35,"{""connection type"": ""USB-C"", ""power"": ""30W"", ""warranty"": ""12 months""}","[""P010"", ""P011""]"
P010,USB-C Fast Charger 65W,chargers,Baseus,39.99,USD,11,"{""connection type"": ""USB-C"", ""power"": ""65W"", ""warranty"": ""12 months""}","[""P009""]"
P011,MagSafe Wireless Charger,chargers,TechGear,34.99,USD,0,"{""connection type"": ""wireless"", ""power"": ""15W"", ""compatibility"": ""iPhone MagSafe"", ""warranty"": ""12 months""}","[""P009""]"
P012,Mechanical Keyboard TKL Blue Switch,keyboards,Keychron,89.99,USD,6,"{""color"": ""gray"", ""size"": ""TKL"", ""connection type"": ""USB-C/Bluetooth"", ""warranty"": ""12 months""}","[""P013""]"
P013,Compact Wireless Keyboard,keyboards,Logitech,44.99,USD,18,"{""color"": ""black"", ""size"": ""compact"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months""}","[""P012""]"
P014,Logitech MX Master Wireless Mouse,mice,Logitech,99.99,USD,9,"{""color"": ""graphite"", ""connection type"": ""Bluetooth/USB receiver"", ""warranty"": ""12 months""}","[""P015""]"
P015,Budget Wireless Mouse,mice,TechGear,16.99,USD,42,"{""color"": ""black"", ""connection type"": ""USB receiver"", ""warranty"": ""6 months""}","[""P014""]"
P016,Smart Watch Active 2,smart watches,Amazfit,119.99,USD,14,"{""color"": ""black"", ""size"": ""44mm"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months""}","[""P017""]"
P017,Smart Watch Mini Rose,smart watches,TechGear,79.99,USD,0,"{""color"": ""rose"", ""size"": ""40mm"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months""}","[""P016""]"
P018,Aluminum Laptop Stand,laptop accessories,TechGear,37.99,USD,20,"{""color"": ""silver"", ""size"": ""universal"", ""compatibility"": ""13-17 inch laptops"", ""warranty"": ""6 months""}","[""P019""]"
P019,USB-C Hub 8-in-1,laptop accessories,Baseus,54.99,USD,7,"{""color"": ""gray"", ""connection type"": ""USB-C"", ""compatibility"": ""Windows/Mac"", ""warranty"": ""12 months""}","[""P020""]"
P020,Laptop Cooling Pad,laptop accessories,CoolerMaster,29.99,USD,0,"{""color"": ""black"", ""size"": ""15-17 inch"", ""connection type"": ""USB-A"", ""warranty"": ""6 months""}","[""P018""]"
P021,Braided USB-C Cable 1m,cables,Anker,9.99,USD,54,"{""color"": ""black"", ""size"": ""1m"", ""connection type"": ""USB-C to USB-C"", ""warranty"": ""6 months""}","[""P022""]"
P022,Lightning Cable 2m,cables,Belkin,14.99,USD,27,"{""color"": ""white"", ""size"": ""2m"", ""connection type"": ""USB-C to Lightning"", ""warranty"": ""6 months""}","[""P021""]"
P023,HDMI Cable 2m,cables,TechGear,11.99,USD,31,"{""color"": ""black"", ""size"": ""2m"", ""connection type"": ""HDMI 2.1"", ""warranty"": ""6 months""}","[""P024""]"
P024,USB-C to HDMI Adapter,cables,Baseus,18.99,USD,0,"{""color"": ""gray"", ""connection type"": ""USB-C to HDMI"", ""compatibility"": ""Windows/Mac"", ""warranty"": ""6 months""}","[""P019""]"
P025,Power Bank 20000mAh USB-C,power banks,Anker,59.99,USD,13,"{""color"": ""black"", ""capacity"": ""20000mAh"", ""connection type"": ""USB-C"", ""warranty"": ""12 months""}","[""P026""]"
P026,Power Bank 10000mAh Slim,power banks,Xiaomi,29.99,USD,39,"{""color"": ""blue"", ""capacity"": ""10000mAh"", ""connection type"": ""USB-C"", ""warranty"": ""12 months""}","[""P025""]"
P027,Mini Bluetooth Speaker,small electronics,JBL,39.99,USD,16,"{""color"": ""red"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months""}","[""P028""]"
P028,USB Desk Lamp with Wireless Charging,small electronics,TechGear,45.99,USD,5,"{""color"": ""white"", ""connection type"": ""USB-C/wireless"", ""warranty"": ""12 months""}","[""P011""]"
P029,Webcam Full HD,small electronics,Logitech,69.99,USD,10,"{""color"": ""black"", ""connection type"": ""USB-A"", ""warranty"": ""12 months""}","[""P030""]"
P030,Portable SSD 1TB,small electronics,Samsung,109.99,USD,4,"{""color"": ""gray"", ""capacity"": ""1TB"", ""connection type"": ""USB-C"", ""warranty"": ""12 months""}","[""P019""]"
P031,iPhone 15 Clear Case White Variant,phone cases,TechGear,22.99,USD,4,"{""color"": ""white"", ""model"": ""iPhone 15"", ""compatibility"": ""MagSafe"", ""warranty"": ""6 months"", ""variant"": ""v31""}","[""P001""]"
P032,iPhone 15 Silicone Case Black Blue Variant,phone cases,TechGear,30.99,USD,7,"{""color"": ""blue"", ""model"": ""iPhone 15"", ""compatibility"": ""MagSafe"", ""warranty"": ""6 months"", ""variant"": ""v32""}","[""P002""]"
P033,iPhone 15 Pro Rugged Case Green Variant,phone cases,ArmorX,38.99,USD,10,"{""color"": ""green"", ""model"": ""iPhone 15 Pro"", ""compatibility"": ""MagSafe"", ""warranty"": ""6 months"", ""variant"": ""v33""}","[""P003""]"
P034,Samsung S24 Clear Case Silver Variant,phone cases,TechGear,30.99,USD,13,"{""color"": ""silver"", ""model"": ""Samsung S24"", ""compatibility"": ""wireless charging"", ""warranty"": ""6 months"", ""variant"": ""v34""}","[""P004""]"
P035,Samsung S24 Ultra Rugged Case Clear Variant,phone cases,ArmorX,31.99,USD,0,"{""color"": ""clear"", ""model"": ""Samsung S24 Ultra"", ""compatibility"": ""wireless charging"", ""warranty"": ""6 months"", ""variant"": ""v35""}","[""P005""]"
P036,Sony WH-CH720N Wireless Headphones Black Variant,headphones,Sony,132.99,USD,19,"{""color"": ""black"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months"", ""variant"": ""v36""}","[""P006""]"
P037,JBL Tune 520BT Wireless Headphones White Variant,headphones,JBL,65.99,USD,22,"{""color"": ""white"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months"", ""variant"": ""v37""}","[""P007""]"
P038,Anker Soundcore Earbuds Blue Variant,headphones,Anker,58.99,USD,25,"{""color"": ""blue"", ""connection type"": ""Bluetooth"", ""warranty"": ""12 months"", ""variant"": ""v38""}","[""P008""]"
P039,USB-C Fast Charger 30W Green Variant,chargers,Anker,37.99,USD,28,"{""connection type"": ""USB-C"", ""power"": ""30W"", ""warranty"": ""12 months"", ""color"": ""green"", ""variant"": ""v39""}","[""P009""]"
P040,USB-C Fast Charger 65W Silver Variant,chargers,Baseus,39.99,USD,31,"{""connection type"": ""USB-C"", ""power"": ""65W"", ""warranty"": ""12 months"", ""color"": ""silver"", ""variant"": ""v40""}","[""P010""]"
P041,MagSafe Wireless Charger Clear Variant,chargers,TechGear,37.99,USD,34,"{""connection type"": ""wireless"", ""power"": ""15W"", ""compatibility"": ""iPhone MagSafe"", ""warranty"": ""12 months"", ""color"": ""clear"", ""variant"": ""v41""}","[""P011""]"
P042,Mechanical Keyboard TKL Blue Switch Black Variant,keyboards,Keychron,95.99,USD,0,"{""color"": ""black"", ""size"": ""TKL"", ""connection type"": ""USB-C/Bluetooth"", ""warranty"": ""12 months"", ""variant"": ""v42""}","[""P012""]"
